model,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_f1_macro_mean,cv_f1_macro_std,cv_roc_auc_mean,cv_roc_auc_std
MLP Classifier,0.848329082933591,0.006269038076513292,0.8575815869980286,0.007047651783924086,0.8886600485887906,0.011903344485701742,0.8727739588084182,0.005703688243769647,0.8424859609164074,0.006366320715902898,0.9208711606624795,0.003266212222918294
Logistic Regression,0.8477912778665202,0.006486773532749127,0.8576144009368442,0.006480601298706181,0.8874351976214507,0.007893980984576335,0.8722457869951228,0.005518793277065395,0.8419923014735847,0.006723921832832458,0.9214437572630084,0.003006288125557576
Logistic Regression Balanced,0.8431761608992134,0.005524536667685584,0.8779961072879022,0.006845869065044105,0.8503975619518791,0.006541134986118008,0.863951007212667,0.004744634088207927,0.8394235892263676,0.005703272736929542,0.9214778864609741,0.003048827222003655
Random Forest Balanced,0.8430416318322616,0.00453317108716683,0.8541985591136119,0.00490038090281401,0.882614061702552,0.003166195269472675,0.8681691687046355,0.003641119217356795,0.8371224055686394,0.004806365501911752,0.9162697685215928,0.0031439387212623925
Decision Tree Balanced,0.7773097619856454,0.0046822156315871446,0.811629092870997,0.004581523110182299,0.8070093005047155,0.007054228500032291,0.8092918537176622,0.004311683294075846,0.7708539538772505,0.004743017342266898,0.7711803259280334,0.004725003701206167
